,,,,
,,series,descanso,peso
,lunes(pierna-bicep-abs),,,
,sentadilla,3x8-10,1-2m,?-?-?
,press en maquina,3x8-10,1-2m,?-?-?
,press militar,2x8-10,1m,?-?
,curl de piernas,3x10-12,1m,?-?-?
,aperturas en maquina,3x10-12,1m,?-?-?
,elev laterales ,2x12-15,1m,?-?
,extensiones de piernas,2x10-12,1m,?-?
,,,,
,martes(espalda-tricep),,,
,jalon al pecho,3x8-10,1-2m,?-?-?
,extensiones de piernas,3x10-12,1m,?-?-?
,curl de bicep en polea + extension de tricep en polea,2x12-15,1m,?-?
,,,,?-?
,remo en banco,3x8-10,1-2m,?-?-?
,curl femoral,2x10-12,1m,?-?
,curl martilli + extension trasnuca en polea,2x12-15,1m,?-?
,,,,?-?